reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,processed_text
AN65KG18M4SDN,B00KCSG3NI,jeff grant,"[0, 0]",Love this product. Enables me to be able to charge my phone or tablet with one charger. Great quality and easy to understand instructions are a plus. Also includes all cables needed.,5,Awesome product,1401667200,"06 2, 2014","{'user_prompt': 'Love this product. Enables me to be able to charge my phone or tablet with one charger. Great quality and easy to understand instructions are a plus. Also includes all cables needed.', 'interpreted_input': ' Love this product. Enables me to be able to charge my phone or tablet with one charger. Great quality and easy to understand instructions are a plus. Also includes all cables needed..', 'aspects': ['product', 'quality', 'instructions', 'cables needed'], 'opinions': ['love', 'great', 'easy to understand', 'all'], 'sentiments': ['Positive', 'Positive', 'Positive', 'Positive'], 'phrases': ['love product', 'great quality', 'easy to understand instructions', 'all cables needed']}"
A182BL642WB691,B005SGQ37U,Big.Hoss,"[0, 0]","I orderd this cord as a supplemental power cord for my iPad so that I wouldn't have to disconnect and transport mine everytime. Works like a charm, and I highly recommend it if you seek the same criteria...or as a replacement cord if you need that as well.",5,Perfect fit,1356566400,"12 27, 2012",
A2VPQPE23G8P9K,B00A9YRW4O,J,"[0, 0]","The screen protector does protect, but it is VERY difficult to get out the air bubbles.. NOT impossible, just very difficult. Arrived ahead of time, in great condition. I bought it for my brother, he loves it!",4,Very nice,1359936000,"02 4, 2013","{'user_prompt': 'The screen protector does protect, but it is VERY difficult to get out the air bubbles.. NOT impossible, just very difficult. Arrived ahead of time, in great condition. I bought it for my brother, he loves it!', 'interpreted_input': ' The screen protector does protect, but it is VERY difficult to get out the air bubbles.. NOT impossible, just very difficult. Arrived ahead of time, in great condition. I bought it for my brother, he loves it!.', 'aspects': ['screen protector', 'air bubbles', 'condition', 'brother', 'love'], 'opinions': ['difficult', 'great', 'great', 'great', 'love'], 'sentiments': ['Neutral', 'Positive', 'Positive', 'Positive', 'Positive'], 'phrases': ['difficult screen protector', 'great air bubbles', 'great condition', 'great brother', 'love love']}"
A3F1DO29Z7J3NB,B003TUSWG2,Tinker,"[0, 0]",I ordered this charger for myself. So far so good. Delivery was great. Have ordered again but in a different color for my son.Thank you,5,Car charger,1352073600,"11 5, 2012",
A2W369YLXCY4PL,B004IEWXSG,R. Jalal,"[0, 0]","This protector looks good, and buttons are easy to press with cover on. Material isn't that soft, and seems kind of thin but should protect the phone in a fall. Over all a good protector.",5,Good,1388188800,"12 28, 2013","{'user_prompt': ""This protector looks good, and buttons are easy to press with cover on. Material isn't that soft, and seems kind of thin but should protect the phone in a fall. Over all a good protector."", 'interpreted_input': "" This protector looks good, and buttons are easy to press with cover on. Material isn't that soft, and seems kind of thin but should protect the phone in a fall. Over all a good protector.."", 'aspects': ['protector', 'buttons', 'material', 'phone', 'overall'], 'opinions': ['good', 'easy to press', 'not that soft', 'kind of thin', 'good'], 'sentiments': ['Positive', 'Positive', 'Neutral', 'Positive', 'Positive'], 'phrases': ['good protector', 'easy to press buttons', 'not that soft material', 'kind of thin phone', 'good overall']}"
A1MRRMHGV3PN5W,B002VPE1OS,"Stacie L. Helsing ""stacielc""","[0, 0]","This was super easy to put on and had very little trouble keeping bubbles out.  The anti-glare gives your screen a slightly grainy appearance, that may or may not be distracting, especially since the iPhone screens are so clear.  Don't rule it out, there are lots of protectors out there and I have yet to find one that really is a star performer.",3,"It's OK, but not perfect",1277856000,"06 30, 2010","{'user_prompt': ""This was super easy to put on and had very little trouble keeping bubbles out.  The anti-glare gives your screen a slightly grainy appearance, that may or may not be distracting, especially since the iPhone screens are so clear.  Don't rule it out, there are lots of protectors out there and I have yet to find one that really is a star performer."", 'interpreted_input': "" This was super easy to put on and had very little trouble keeping bubbles out.  The anti-glare gives your screen a slightly grainy appearance, that may or may not be distracting, especially since the iPhone screens are so clear.  Don't rule it out, there are lots of protectors out there and I have yet to find one that really is a star performer.."", 'aspects': ['anti-glare', 'protectors', 'screen', 'iPhone screens', 'protectors'], 'opinions': ['slightly grainy', 'lots of protectors', 'clear', 'distracting', 'star performer'], 'sentiments': ['Neutral', 'Positive', 'Positive', 'Negative', 'Positive'], 'phrases': ['slightly grainy anti-glare', 'lots of protectors protectors', 'clear screen', 'distracting iPhone screens', 'star performer protectors']}"
A3JKAFESI9I5N9,B004M5IUFG,ShirleyRN,"[1, 1]","I absolutely love this bluetooth! When I'm looking for a bluetooth headset there are 3 things I look for. Sound quality, background noise reduction and comfort. This has all 3. It is so lightweight in my ear that I can barely feel it there. Sound quality is great. I will be ordering another one because unfortunately I stepped on mine while I was moving and was completely devastated! But it is that good that I would order another. I hope this helps.",5,Great bluetooth,1352419200,"11 9, 2012","{'user_prompt': ""I absolutely love this bluetooth! When I'm looking for a bluetooth headset there are 3 things I look for. Sound quality, background noise reduction and comfort. This has all 3. It is so lightweight in my ear that I can barely feel it there. Sound quality is great. I will be ordering another one because unfortunately I stepped on mine while I was moving and was completely devastated! But it is that good that I would order another. I hope this helps."", 'interpreted_input': "" I absolutely love this bluetooth! When I'm looking for a bluetooth headset there are 3 things I look for. Sound quality, background noise reduction and comfort. This has all 3. It is so lightweight in my ear that I can barely feel it there. Sound quality is great. I will be ordering another one because unfortunately I stepped on mine while I was moving and was completely devastated! But it is that good that I would order another. I hope this helps.."", 'aspects': ['bluetooth headset', 'sound quality', 'background noise reduction', 'comfort', 'another one'], 'opinions': ['love', 'great', 'great', 'lightweight', 'another one'], 'sentiments': ['Positive', 'Positive', 'Positive', 'Positive', 'Positive'], 'phrases': ['love bluetooth headset', 'great sound quality', 'great background noise reduction', 'lightweight comfort', 'another one another one']}"
A1TBTJ8PU087LJ,B0082OHYGO,MAS,"[2, 3]","Case fits well and offers great protection and looks, on par with Otterbox. Color is consistent through out the case. The pink rubber is quality and does not feel cheap also the zebra covers are easy to remove and are quality as well. The case affords great protection and all the buttons are useable and feel good through the cover and are fully operational. Overall a must have!",5,A must have!,1349308800,"10 4, 2012",
A1HPXKLFL2HB04,B006YNTJ6I,Michael,"[0, 0]",It came on time and a decent case.. will order again also its very good quality can't find these case at Wal-Mart or best buy,5,ipod.classic,1363219200,"03 14, 2013","{'user_prompt': ""It came on time and a decent case.. will order again also its very good quality can't find these case at Wal-Mart or best buy"", 'interpreted_input': "" It came on time and a decent case.. will order again also its very good quality can't find these case at Wal-Mart or best buy."", 'aspects': ['case', 'decent case', 'quality', 'case', 'decent case', 'quality'], 'opinions': ['decent', 'decent', 'good', 'good', 'good', 'good'], 'sentiments': ['Neutral', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive'], 'phrases': ['decent case', 'decent decent case', 'good quality', 'good case', 'good decent case', 'good quality']}"
A2R99I2RXNYT8A,B00BQUAPFS,Bonita B.,"[3, 3]",I got this charm for my sister. She loves it. It is o cute and girly and looks very nice on her phone.,5,Very cute touch!,1375142400,"07 30, 2013","{'user_prompt': 'I got this charm for my sister. She loves it. It is o cute and girly and looks very nice on her phone.', 'interpreted_input': ' I got this charm for my sister. She loves it. It is o cute and girly and looks very nice on her phone..', 'aspects': ['charm', 'sister', 'charm', 'o cute', 'girly', 'looks very nice on her phone'], 'opinions': ['love', 'nice', 'nice', 'cute', 'nice', 'nice'], 'sentiments': ['Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive'], 'phrases': ['love charm', 'nice sister', 'nice charm', 'cute o cute', 'nice girly', 'nice looks very nice on her phone']}"
A2CF0P2FMKL8UK,B009X25Z10,dadof5,"[0, 0]","Fits well, offer decent protection and grips on side help secure the phone. The back is slightly slicker than I would prefer but still better than the back of of Note though.",4,Very good case,1386115200,"12 4, 2013","{'user_prompt': 'Fits well, offer decent protection and grips on side help secure the phone. The back is slightly slicker than I would prefer but still better than the back of of Note though.', 'interpreted_input': ' Fits well, offer decent protection and grips on side help secure the phone. The back is slightly slicker than I would prefer but still better than the back of of Note though..', 'aspects': ['fits well', 'offer decent protection', 'grips on side', 'back'], 'opinions': ['decent', 'decent', 'help secure', 'slicker than I would prefer'], 'sentiments': ['Neutral', 'Positive', 'Positive', 'Negative'], 'phrases': ['decent fits well', 'decent offer decent protection', 'help secure grips on side', 'slicker than I would prefer back']}"
A3S3HIK135PHK5,B00APJG6Y0,Debra W,"[0, 0]","This is a wonderful clip for the price. It's just like the description said, and although I had remove my screen protector the raised edges provide good protection for me screen.",4,Belt Clip,1376092800,"08 10, 2013","{'user_prompt': ""This is a wonderful clip for the price. It's just like the description said, and although I had remove my screen protector the raised edges provide good protection for me screen."", 'interpreted_input': "" This is a wonderful clip for the price. It's just like the description said, and although I had remove my screen protector the raised edges provide good protection for me screen.."", 'aspects': ['clip', 'price', 'raised edges', 'screen', 'protection', 'price'], 'opinions': ['wonderful', 'wonderful', 'good', 'screen', 'protection', 'good'], 'sentiments': ['Positive', 'Positive', 'Positive', 'Positive', 'Positive', 'Positive'], 'phrases': ['wonderful clip', 'wonderful price', 'good raised edges', 'screen screen', 'protection protection', 'good price']}"
A3LF2DIRG6LW2M,B006TQW188,Mrs. BEAUTIFUL,"[0, 0]",This purple case is so pretty and it is exactly what my daughter needed to protect her iPad mini baby!!,5,Sooo pretty,1364342400,"03 27, 2013","{'user_prompt': 'This purple case is so pretty and it is exactly what my daughter needed to protect her iPad mini baby!!', 'interpreted_input': ' This purple case is so pretty and it is exactly what my daughter needed to protect her iPad mini baby!!.', 'aspects': ['purple case', 'iPad mini baby'], 'opinions': ['pretty', 'needed to protect'], 'sentiments': ['Positive', 'Positive'], 'phrases': ['pretty purple case', 'needed to protect iPad mini baby']}"
A2PTXKUUCFI79L,B004SK71C8,KK Chan,"[0, 0]","My only complaint is that sometimes sounds from the right earbudscreech. I think this is because of particular voices or sounds. I tendto hear that sound when speaking with girls. It isn't bad, justnoticeable.Seriously though, how can I really complain for something this cheap.",5,That's good!,1363824000,"03 21, 2013","{'user_prompt': ""My only complaint is that sometimes sounds from the right earbudscreech. I think this is because of particular voices or sounds. I tendto hear that sound when speaking with girls. It isn't bad, justnoticeable.Seriously though, how can I really complain for something this cheap."", 'interpreted_input': "" My only complaint is that sometimes sounds from the right earbudscreech. I think this is because of particular voices or sounds. I tendto hear that sound when speaking with girls. It isn't bad, justnoticeable.Seriously though, how can I really complain for something this cheap.."", 'aspects': ['earbuds', 'voices', 'sounds', 'right earbuds', 'girls', 'cheap'], 'opinions': ['creech', 'noticeable', 'noticeable', 'noticeable', 'noticeable', 'cheap'], 'sentiments': ['Negative', 'Neutral', 'Neutral', 'Negative', 'Neutral', 'Positive'], 'phrases': ['creech earbuds', 'noticeable voices', 'noticeable sounds', 'noticeable right earbuds', 'noticeable girls', 'cheap cheap']}"
A3A9JIV9V5JAWV,B008BAUKSI,"Ang ""Angelia""","[0, 0]","My daughter loved this case for her phone.  She said it just needed a strap to place around her wrist to hold on to it, but she can still place it in her back pocket.  Just right!",5,Loved it!,1358899200,"01 23, 2013","{'user_prompt': 'My daughter loved this case for her phone.  She said it just needed a strap to place around her wrist to hold on to it, but she can still place it in her back pocket.  Just right!', 'interpreted_input': ' My daughter loved this case for her phone.  She said it just needed a strap to place around her wrist to hold on to it, but she can still place it in her back pocket.  Just right!.', 'aspects': ['case for her phone', 'strap to place around her wrist', 'back pocket'], 'opinions': ['loved', 'needed', 'just right'], 'sentiments': ['Positive', 'Neutral', 'Positive'], 'phrases': ['loved case for her phone', 'needed strap to place around her wrist', 'just right back pocket']}"
A3A76NG48QQDJT,B0050Y3GF2,Jennifer,"[0, 0]",This case looks pretty on my phone. But doesn't protect all of it. Only 3 sides of it. Guess I got to read more of the description.,2,Not what I thought,1376179200,"08 11, 2013","{'user_prompt': ""This case looks pretty on my phone. But doesn't protect all of it. Only 3 sides of it. Guess I got to read more of the description."", 'interpreted_input': "" This case looks pretty on my phone. But doesn't protect all of it. Only 3 sides of it. Guess I got to read more of the description.."", 'aspects': ['case', 'all of it', '3 sides of it', 'description'], 'opinions': ['pretty', ""doesn't protect"", '3 sides', 'read more of the'], 'sentiments': ['Positive', 'Negative', 'Positive', 'Neutral'], 'phrases': ['pretty case', ""doesn't protect all of it"", '3 sides 3 sides of it', 'read more of the description']}"
A2J2D7KT5GETYE,B008CPUJAQ,Nik,"[0, 0]",I been looking to get headphones as my old one was abt to get done. I ordered these and they are just perfect. I would say that these same pair might be arnd $15 or more if I get it frm the Store. They work just great and are good :)),5,Awesome !!!!!,1354492800,"12 3, 2012",
AB1ZV60WX05M6,B004VN09LM,"1coss+3nails=4gvn ""1cross+3nails=4gvn""","[0, 0]","this was a great product, I did'nt realize it was coming from Hong Kong, i placed the orded on 12/8/12, its 1/9/13 go figure ;-{",4,iphone,1357689600,"01 9, 2013",
A314KKDIJWCNMV,B009S40MQG,bmac32,"[0, 1]","Holes do not line up 100%. Volume control is fine, stylus is fine, head phone jack is fine but on/off button takes two hands. All holes are off by 2-3 cm so it's very close and all controls are useable. Case feels slightly tacky so it won't slip in your hand which is good in our book. Bright yellow, wifes favorite color. Case can be laid on a flat surface and the screen remains off the surface so not to get scratched. If they have the color you want for 10 bucks it's a good deal.",4,Nice Cheap Case,1372982400,"07 5, 2013",
A1SAOJ2WPUUBC5,B003WGLWXS,"Mable J. Rowan ""Mable Jean Dixon Rowan""","[0, 0]",Can barely hear out of it and it doesn't fit phone needs adapter for my iPhone 4S. Don't recommend for iPhones!!!,1,Bad quality,1365120000,"04 5, 2013","{'user_prompt': ""Can barely hear out of it and it doesn't fit phone needs adapter for my iPhone 4S. Don't recommend for iPhones!!!"", 'interpreted_input': "" Can barely hear out of it and it doesn't fit phone needs adapter for my iPhone 4S. Don't recommend for iPhones!!!."", 'aspects': ['headphones', 'adapter for my iPhone 4S', 'iPhones'], 'opinions': ['barely hear out of it', ""don't recommend for iPhones"", ""don't recommend for iPhones""], 'sentiments': ['Negative', 'Negative', 'Negative'], 'phrases': ['barely hear out of it headphones', ""don't recommend for iPhones adapter for my iPhone 4S"", ""don't recommend for iPhones iPhones""]}"
A2PYPBC4IFAGXU,B00C5X4146,john wilks,"[2, 2]",THESE ARE GREAT I RESELL THEM AND THEY FIT GREAT AND WILL BE REPRDERING A TON OF THEM THANK YOU FOR THEY GREAT PRODUCTS,5,THESE ARE PERFECT,1386979200,"12 14, 2013",
A3FF6CWXBMKJHF,B007BJCV6E,S.Hody,"[0, 1]",I love these things. They work really well for charging my smart phones and iPad. And there's a 2 port for UBS's so that's a def plus!!,5,Great product!,1386547200,"12 9, 2013","{'user_prompt': ""I love these things. They work really well for charging my smart phones and iPad. And there's a 2 port for UBS's so that's a def plus!!"", 'interpreted_input': "" I love these things. They work really well for charging my smart phones and iPad. And there's a 2 port for UBS's so that's a def plus!!."", 'aspects': ['charging my smart phones and iPad', ""UBS's""], 'opinions': ['love', 'def plus'], 'sentiments': ['Positive', 'Positive'], 'phrases': ['love charging my smart phones and iPad', ""def plus UBS's""]}"
A182BL642WB691,B0095KJDEU,Big.Hoss,"[0, 0]","This case fit the iPhone 5 perfectly WITHOUT A CASE. Its been a little rough breaking it in, but all in all its a great product for the price.",4,Great product,1368835200,"05 18, 2013","{'user_prompt': 'This case fit the iPhone 5 perfectly WITHOUT A CASE. Its been a little rough breaking it in, but all in all its a great product for the price.', 'interpreted_input': ' This case fit the iPhone 5 perfectly WITHOUT A CASE. Its been a little rough breaking it in, but all in all its a great product for the price..', 'aspects': ['case', 'breaking it in', 'price'], 'opinions': ['fit the iPhone 5 perfectly', 'rough breaking it in', 'great product for the price'], 'sentiments': ['Positive', 'Neutral', 'Positive'], 'phrases': ['fit the iPhone 5 perfectly case', 'rough breaking it in breaking it in', 'great product for the price price']}"
A17T6V74TFVNO8,B00473KGDM,CGIII,"[0, 0]",Got these for a gift and the person seemed to like them very much. Hope to get more for my daughter....she likes them too.,3,cheaper than the Apple store,1384473600,"11 15, 2013","{'user_prompt': 'Got these for a gift and the person seemed to like them very much. Hope to get more for my daughter....she likes them too.', 'interpreted_input': ' Got these for a gift and the person seemed to like them very much. Hope to get more for my daughter....she likes them too..', 'aspects': ['these', 'person', 'daughter'], 'opinions': ['like them very much', 'like them too'], 'sentiments': ['Positive', 'Positive'], 'phrases': ['like them very much these', 'like them too person']}"
A1M9OT024TYW99,B00I41RSL6,Colorado Guy,"[0, 0]","After figuring how to get it open it to insert the Iphone, it would not close tight again. I discovered I need a pair of players to break off a protruding plastic part preventing its closure. One completed, the iphone went inside and works.There is no way to expect this case to be worth any more than the price. One gets what they pay for..",2,Remember the price you paid,1395446400,"03 22, 2014","{'user_prompt': 'After figuring how to get it open it to insert the Iphone, it would not close tight again. I discovered I need a pair of players to break off a protruding plastic part preventing its closure. One completed, the iphone went inside and works.There is no way to expect this case to be worth any more than the price. One gets what they pay for..', 'interpreted_input': ' After figuring how to get it open it to insert the Iphone, it would not close tight again. I discovered I need a pair of players to break off a protruding plastic part preventing its closure. One completed, the iphone went inside and works.There is no way to expect this case to be worth any more than the price. One gets what they pay for...', 'aspects': ['Iphone', 'it to insert the Iphone', 'it would not close tight again', 'players to break off a protruding plastic part'], 'opinions': ['not worth any more than the price', 'no way to expect this case to be worth any more than the price', 'what they pay for'], 'sentiments': ['Negative', 'Negative', 'Negative'], 'phrases': ['not worth any more than the price Iphone', 'no way to expect this case to be worth any more than the price it to insert the Iphone', 'what they pay for it would not close tight again']}"
A1ZZEO07YMRKE9,B0052QRMG2,Ashley,"[0, 0]",I like this case very much it is very cute and has held up well but it is only for style and will not protect your phone in case of a drop but I knew this when I purchased it.,5,super cute,1378857600,"09 11, 2013","{'user_prompt': 'I like this case very much it is very cute and has held up well but it is only for style and will not protect your phone in case of a drop but I knew this when I purchased it.', 'interpreted_input': ' I like this case very much it is very cute and has held up well but it is only for style and will not protect your phone in case of a drop but I knew this when I purchased it..', 'aspects': ['case', 'cute', 'held up well', 'style', 'will not protect your phone in case of a drop'], 'opinions': ['like', 'like', 'like', 'like', 'will not protect your phone in case of a drop'], 'sentiments': ['Positive', 'Positive', 'Positive', 'Positive', 'Negative'], 'phrases': ['like case', 'like cute', 'like held up well', 'like style', 'will not protect your phone in case of a drop will not protect your phone in case of a drop']}"
A24F1TQBSK3FJD,B006LWKSL2,shannon,"[0, 0]",love the color. not the best protection but what can you expect? i really like the birds nest design it goes great with the glass back on my black iphone.,5,good for the money,1368489600,"05 14, 2013","{'user_prompt': 'love the color. not the best protection but what can you expect? i really like the birds nest design it goes great with the glass back on my black iphone.', 'interpreted_input': ' love the color. not the best protection but what can you expect? i really like the birds nest design it goes great with the glass back on my black iphone..', 'aspects': ['color', 'protection', 'birds nest design', 'glass back', 'black iphone'], 'opinions': ['love', 'not the best', 'great', 'goes great', 'great', 'black'], 'sentiments': ['Positive', 'Negative', 'Positive', 'Positive', 'Positive', 'Positive'], 'phrases': ['love color', 'not the best protection', 'great birds nest design', 'goes great glass back', 'great black iphone']}"
